"","PlayerName","pos","points","value"
"1","Patrick Mahomes II","qb",448.144,126.781093488068
"2","Josh Allen","qb",430.91,114.689617968906
"3","Jalen Hurts","qb",415.174,103.649148039143
"4","Joe Burrow","qb",398.518,91.9632007113504
"5","Lamar Jackson","qb",390.086,86.0472600372424
"6","Justin Herbert","qb",369.038,71.2798597397298
"7","Justin Fields","qb",353.556,60.4175977002919
"8","Deshaun Watson","qb",350.38,58.1892974653574
"9","Kirk Cousins","qb",348.752,57.0470831131933
"10","Dak Prescott","qb",345.504,54.7682672558045
"11","Trevor Lawrence","qb",342.048,52.3435173779917
"12","Geno Smith","qb",338.934,50.1587167068375
"13","Travis Kelce","te",119.71,47.6918704769793
"14","Aaron Rodgers","qb",332.58,45.7007130252338
"15","Nick Chubb","rb",204.445,43.8856586462113
"16","Derrick Henry","rb",203.11,42.949014813202
"17","Daniel Jones","qb",328.522,42.8535964152326
"18","Ja'Marr Chase","wr",130.32,41.2862089074102
"19","Cooper Kupp","wr",130.11,41.1388716752515
"20","Christian McCaffrey","rb",200.36,41.0195986777896
"21","Josh Jacobs","rb",197.72,39.1673591877938
"22","Justin Jefferson","wr",127.275,39.1498190411082
"23","Bijan Robinson","rb",195.98,37.9465649784783
"24","Tyreek Hill","wr",125.235,37.7185430715659
"25","Jared Goff","qb",320.958,37.5466496340474
"26","Russell Wilson","qb",319.472,36.5040633150573
"27","Austin Ekeler","rb",192.505,35.5084845891845
"28","Tua Tagovailoa","qb",317.994,35.4670898430065
"29","Jonathan Taylor","rb",191.3,34.6630495189402
"30","Tony Pollard","rb",190.725,34.2596261451721
"31","CeeDee Lamb","wr",118.5,32.9932275544742
"32","Saquon Barkley","rb",186.19,31.0778435364103
"33","Stefon Diggs","wr",114.48,30.172771967435
"34","Davante Adams","wr",114.12,29.9201938551628
"35","A.J. Brown","wr",111.92,28.3766609468329
"36","Deebo Samuel","wr",106.135,24.3178710037927
"37","Jaylen Waddle","wr",102.16,21.5289876807876
"38","Joe Mixon","rb",172.115,21.2027409524361
"39","Mark Andrews","te",81.36,20.7852854613195
"40","Amon-Ra St. Brown","wr",99.895,19.9398503910752
"41","Najee Harris","rb",168.145,18.417365658768
"42","Rhamondre Stevenson","rb",167.605,18.0384984903598
"43","Christian Watson","wr",96.56,17.5999948232206
"44","Amari Cooper","wr",96.26,17.3895130629938
"45","Breece Hall","rb",165.345,16.4528692299845
"46","Aaron Jones","rb",165.005,16.2143232350608
"47","T.J. Hockenson","te",74.745,16.1441626483185
"48","George Kittle","te",74.605,16.0459378268794
"49","Kenneth Walker III","rb",164.735,16.0248896508567
"50","Tee Higgins","wr",92.715,14.9023202629804
"51","Garrett Wilson","wr",92.135,14.4953888598752
"52","Derek Carr","qb",288.042,14.4525909019624
"53","Travis Etienne Jr.","rb",161.985,14.0954735154443
"54","DK Metcalf","wr",91.52,14.0639012514103
"55","Anthony Richardson","qb",287.064,13.7664203636231
"56","Alexander Mattison","rb",161.39,13.6780180243278
"57","Matthew Stafford","qb",286.34,13.258457715609
"58","Calvin Ridley","wr",89.53,12.6677055752392
"59","DeVonta Smith","wr",89.525,12.664197545902
"60","Chris Olave","wr",88.605,12.0187201478732
"61","Jerry Jeudy","wr",88.075,11.6468690381392
"62","Christian Kirk","wr",86.265,10.3769624181041
"63","Darren Waller","te",66.325,10.2366412446196
"64","Jordan Love","qb",281.89,10.1363116055782
"65","Mike Williams","wr",85.705,9.98406313234741
"66","Terry McLaurin","wr",84.805,9.352617851667
"67","DJ Moore","wr",84.495,9.13512003276596
"68","Mike Evans","wr",84.265,8.97375068325875
"69","Dameon Pierce","rb",154.63,8.93516236055051
"70","Keenan Allen","wr",83.1,8.15637984771133
"71","Kyle Pitts","te",62.525,7.57053894841338
"72","DeAndre Hopkins","wr",82.045,7.4161856575804
"73","James Conner","rb",152.345,7.33199295348969
"74","Brock Purdy","qb",277.72,7.21061513842558
"75","Dallas Goedert","te",61.84,7.08993892922885
"76","Cam Akers","rb",149.495,5.33241623133505
"77","Brandon Aiyuk","wr",78.775,5.12193447110824
"78","Miles Sanders","rb",149.025,5.00266147364639
"79","Tyler Lockett","wr",78.505,4.93250088690411
"80","Jahan Dotson","wr",78.375,4.84129212413917
"81","Gabe Davis","wr",78.235,4.7430673027
"82","Kenny Pickett","qb",273.568,4.29754757688658
"83","Drake London","wr",76.455,3.49420885868762
"84","George Pickens","wr",75.935,3.12937380762783
"85","Isiah Pacheco","rb",145.995,2.87679569535568
"86","Chris Godwin","wr",75.52,2.83820737264742
"87","J.K. Dobbins","rb",145.71,2.67683802314021
"88","Pat Freiermuth","te",55.5,2.64175772976906
"89","Marquise Brown","wr",75.225,2.63123364175773
"90","Greg Dulcich","te",53.465,1.21398978956391
"91","David Njoku","te",53.35,1.13330511481031
"92","Evan Engram","te",53.22,1.04209635204535
"93","Bryce Young","qb",268.868,1
"94","Jahmyr Gibbs","rb",143.32,1
"95","Kadarius Toney","wr",72.9,1
"96","Dalton Schultz","te",53.16,1
